year,day,dayLetter,problem,properName,maxScore,avgScore,avgRatio,acCnt,acRatio,dmojLink,ojuzLink,oj code
2024,1,A,1,Nile,100,68.09,68.09%,126,34.43%,[DMOJ link](https://dmoj.ca/problem/ioi24p1),[OJ.uz link](https://oj.uz/problem/view/IOI24_nile),nile
2024,1,B,2,Message,100,36.84,36.84%,1,0.27%,[DMOJ link](https://dmoj.ca/problem/ioi24p2),[OJ.uz link](https://oj.uz/problem/view/IOI24_message),message
2024,1,C,3,Tree,100,17.57,17.57%,5,1.37%,[DMOJ link](https://dmoj.ca/problem/ioi24p3),[OJ.uz link](https://oj.uz/problem/view/IOI24_tree),tree
2024,2,A,4,Hieroglyphs,100,4.6,4.60%,2,0.55%,[DMOJ link](https://dmoj.ca/problem/ioi24p4),[OJ.uz link](https://oj.uz/problem/view/IOI24_hieroglyphs),hieroglyphs
2024,2,B,5,Mosaic,100,59.26,59.26%,93,25.41%,[DMOJ link](https://dmoj.ca/problem/ioi24p5),[OJ.uz link](https://oj.uz/problem/view/IOI24_mosaic),mosaic
2024,2,C,6,Sphinx's Riddle,100,34.48,34.48%,9,2.46%,[DMOJ link](https://dmoj.ca/problem/ioi24p6),[OJ.uz link](https://oj.uz/problem/view/IOI24_riddle),riddle
2023,1,A,1,Closing Time,100,22.95,22.95%,11,3.11%,[DMOJ link](https://dmoj.ca/problem/ioi23p1),[OJ.uz link](https://oj.uz/problem/view/IOI23_closing),closing
2023,1,B,2,Longest Trip,100,34.44,34.44%,10,2.82%,[DMOJ link](https://dmoj.ca/problem/ioi23p2),[OJ.uz link](https://oj.uz/problem/view/IOI23_longesttrip),longesttrip
2023,1,C,3,Soccer Stadium,100,23.38,23.38%,3,0.85%,[DMOJ link](https://dmoj.ca/problem/ioi23p3),[OJ.uz link](https://oj.uz/problem/view/IOI23_soccer),soccer
2023,2,A,4,Beech Tree,100,14.9,14.90%,2,0.56%,[DMOJ link](https://dmoj.ca/problem/ioi23p4),[OJ.uz link](https://oj.uz/problem/view/IOI23_beechtree),beechtree
